huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
Epoch[1] Iteration[1/321], loss: 4.3719, nitc_loss: 4.3942, ritc_loss: -0.0223, Base Lr: 1.00e-06
Epoch[1] Iteration[17/321], loss: 4.0797, nitc_loss: 4.0594, ritc_loss: 0.0203, Base Lr: 3.47e-06
Epoch[1] Iteration[18/321], loss: 4.0772, nitc_loss: 4.0487, ritc_loss: 0.0285, Base Lr: 3.63e-06
Epoch[1] Iteration[19/321], loss: 4.0850, nitc_loss: 4.0535, ritc_loss: 0.0315, Base Lr: 3.78e-06
Epoch[1] Iteration[20/321], loss: 3.9106, nitc_loss: 3.8712, ritc_loss: 0.0394, Base Lr: 3.93e-06
Epoch[1] Iteration[21/321], loss: 4.0510, nitc_loss: 4.0102, ritc_loss: 0.0408, Base Lr: 4.09e-06
Epoch[1] Iteration[22/321], loss: 4.0399, nitc_loss: 3.9843, ritc_loss: 0.0556, Base Lr: 4.24e-06
Epoch[1] Iteration[23/321], loss: 4.0058, nitc_loss: 3.9418, ritc_loss: 0.0639, Base Lr: 4.40e-06
Epoch[1] Iteration[24/321], loss: 4.1401, nitc_loss: 4.0681, ritc_loss: 0.0720, Base Lr: 4.55e-06
Epoch[1] Iteration[25/321], loss: 4.0139, nitc_loss: 3.9475, ritc_loss: 0.0664, Base Lr: 4.71e-06
Epoch[1] Iteration[26/321], loss: 3.9890, nitc_loss: 3.9147, ritc_loss: 0.0743, Base Lr: 4.86e-06
Epoch[1] Iteration[27/321], loss: 3.9627, nitc_loss: 3.8601, ritc_loss: 0.1026, Base Lr: 5.02e-06
Epoch[1] Iteration[28/321], loss: 3.8928, nitc_loss: 3.7991, ritc_loss: 0.0937, Base Lr: 5.17e-06
Epoch[1] Iteration[29/321], loss: 3.9031, nitc_loss: 3.8143, ritc_loss: 0.0888, Base Lr: 5.32e-06
Epoch[1] Iteration[30/321], loss: 3.9461, nitc_loss: 3.8193, ritc_loss: 0.1268, Base Lr: 5.48e-06
Epoch[1] Iteration[31/321], loss: 3.9987, nitc_loss: 3.8851, ritc_loss: 0.1136, Base Lr: 5.63e-06
Epoch[1] Iteration[32/321], loss: 4.0046, nitc_loss: 3.8669, ritc_loss: 0.1376, Base Lr: 5.79e-06
Epoch[1] Iteration[33/321], loss: 3.9372, nitc_loss: 3.8199, ritc_loss: 0.1173, Base Lr: 5.94e-06
Epoch[1] Iteration[34/321], loss: 4.0013, nitc_loss: 3.8702, ritc_loss: 0.1311, Base Lr: 6.10e-06
Epoch[1] Iteration[35/321], loss: 3.9422, nitc_loss: 3.8084, ritc_loss: 0.1338, Base Lr: 6.25e-06
Epoch[1] Iteration[36/321], loss: 3.8240, nitc_loss: 3.7167, ritc_loss: 0.1074, Base Lr: 6.41e-06
Epoch[1] Iteration[37/321], loss: 4.0232, nitc_loss: 3.9068, ritc_loss: 0.1164, Base Lr: 6.56e-06
Epoch[1] Iteration[38/321], loss: 3.8232, nitc_loss: 3.6804, ritc_loss: 0.1428, Base Lr: 6.71e-06
Epoch[1] Iteration[39/321], loss: 3.8824, nitc_loss: 3.7666, ritc_loss: 0.1158, Base Lr: 6.87e-06
Epoch[1] Iteration[40/321], loss: 3.8636, nitc_loss: 3.7289, ritc_loss: 0.1347, Base Lr: 7.02e-06
Epoch[1] Iteration[41/321], loss: 3.8613, nitc_loss: 3.7030, ritc_loss: 0.1583, Base Lr: 7.18e-06
Epoch[1] Iteration[42/321], loss: 3.8454, nitc_loss: 3.6587, ritc_loss: 0.1867, Base Lr: 7.33e-06
Epoch[1] Iteration[43/321], loss: 3.8502, nitc_loss: 3.7126, ritc_loss: 0.1376, Base Lr: 7.49e-06
Epoch[1] Iteration[44/321], loss: 3.9599, nitc_loss: 3.8141, ritc_loss: 0.1458, Base Lr: 7.64e-06
Epoch[1] Iteration[45/321], loss: 3.9435, nitc_loss: 3.8036, ritc_loss: 0.1399, Base Lr: 7.80e-06
Epoch[1] Iteration[46/321], loss: 3.9416, nitc_loss: 3.7849, ritc_loss: 0.1567, Base Lr: 7.95e-06
Epoch[1] Iteration[47/321], loss: 3.7969, nitc_loss: 3.6543, ritc_loss: 0.1426, Base Lr: 8.10e-06
Epoch[1] Iteration[48/321], loss: 3.7808, nitc_loss: 3.6404, ritc_loss: 0.1404, Base Lr: 8.26e-06
Epoch[1] Iteration[49/321], loss: 3.8447, nitc_loss: 3.6780, ritc_loss: 0.1667, Base Lr: 8.41e-06
Epoch[1] Iteration[50/321], loss: 3.8636, nitc_loss: 3.7020, ritc_loss: 0.1616, Base Lr: 8.57e-06
Epoch[1] Iteration[51/321], loss: 3.8515, nitc_loss: 3.6887, ritc_loss: 0.1629, Base Lr: 8.72e-06
Epoch[1] Iteration[52/321], loss: 3.7528, nitc_loss: 3.5953, ritc_loss: 0.1575, Base Lr: 8.88e-06
Epoch[1] Iteration[53/321], loss: 3.8892, nitc_loss: 3.7410, ritc_loss: 0.1482, Base Lr: 9.03e-06
Epoch[1] Iteration[54/321], loss: 3.8301, nitc_loss: 3.6820, ritc_loss: 0.1481, Base Lr: 9.19e-06
Epoch[1] Iteration[55/321], loss: 3.8636, nitc_loss: 3.7214, ritc_loss: 0.1421, Base Lr: 9.34e-06
Epoch[1] Iteration[56/321], loss: 3.7685, nitc_loss: 3.6242, ritc_loss: 0.1443, Base Lr: 9.49e-06
Epoch[1] Iteration[57/321], loss: 3.8480, nitc_loss: 3.6966, ritc_loss: 0.1514, Base Lr: 9.65e-06
Epoch[1] Iteration[58/321], loss: 3.7755, nitc_loss: 3.6667, ritc_loss: 0.1088, Base Lr: 9.80e-06
Epoch[1] Iteration[59/321], loss: 3.8692, nitc_loss: 3.7552, ritc_loss: 0.1140, Base Lr: 9.96e-06
Epoch[1] Iteration[60/321], loss: 3.7948, nitc_loss: 3.6412, ritc_loss: 0.1536, Base Lr: 1.01e-05
Epoch[1] Iteration[61/321], loss: 3.8392, nitc_loss: 3.7023, ritc_loss: 0.1369, Base Lr: 1.03e-05
Epoch[1] Iteration[62/321], loss: 3.8990, nitc_loss: 3.7533, ritc_loss: 0.1457, Base Lr: 1.04e-05
Epoch[1] Iteration[63/321], loss: 3.8035, nitc_loss: 3.6564, ritc_loss: 0.1471, Base Lr: 1.06e-05
Epoch[1] Iteration[64/321], loss: 3.8729, nitc_loss: 3.7280, ritc_loss: 0.1448, Base Lr: 1.07e-05
Epoch[1] Iteration[65/321], loss: 3.7484, nitc_loss: 3.6156, ritc_loss: 0.1328, Base Lr: 1.09e-05
Epoch[1] Iteration[66/321], loss: 3.7604, nitc_loss: 3.6388, ritc_loss: 0.1216, Base Lr: 1.10e-05
Epoch[1] Iteration[67/321], loss: 3.7737, nitc_loss: 3.6126, ritc_loss: 0.1611, Base Lr: 1.12e-05
Epoch[1] Iteration[68/321], loss: 3.7746, nitc_loss: 3.6300, ritc_loss: 0.1446, Base Lr: 1.13e-05
Epoch[1] Iteration[69/321], loss: 3.9406, nitc_loss: 3.7943, ritc_loss: 0.1463, Base Lr: 1.15e-05
Epoch[1] Iteration[70/321], loss: 3.8459, nitc_loss: 3.6821, ritc_loss: 0.1638, Base Lr: 1.17e-05
Epoch[1] Iteration[71/321], loss: 3.8561, nitc_loss: 3.7024, ritc_loss: 0.1536, Base Lr: 1.18e-05
Epoch[1] Iteration[72/321], loss: 3.8212, nitc_loss: 3.6295, ritc_loss: 0.1918, Base Lr: 1.20e-05
Epoch[1] Iteration[73/321], loss: 3.7942, nitc_loss: 3.5999, ritc_loss: 0.1943, Base Lr: 1.21e-05
Epoch[1] Iteration[74/321], loss: 3.8072, nitc_loss: 3.6331, ritc_loss: 0.1742, Base Lr: 1.23e-05
Epoch[1] Iteration[75/321], loss: 3.6283, nitc_loss: 3.4675, ritc_loss: 0.1608, Base Lr: 1.24e-05
Epoch[1] Iteration[76/321], loss: 3.8179, nitc_loss: 3.6189, ritc_loss: 0.1990, Base Lr: 1.26e-05
Epoch[1] Iteration[77/321], loss: 3.9767, nitc_loss: 3.8075, ritc_loss: 0.1692, Base Lr: 1.27e-05
Epoch[1] Iteration[78/321], loss: 3.8286, nitc_loss: 3.6553, ritc_loss: 0.1733, Base Lr: 1.29e-05
Epoch[1] Iteration[79/321], loss: 3.7904, nitc_loss: 3.5983, ritc_loss: 0.1921, Base Lr: 1.30e-05
Epoch[1] Iteration[80/321], loss: 3.7712, nitc_loss: 3.6400, ritc_loss: 0.1312, Base Lr: 1.32e-05
Epoch[1] Iteration[81/321], loss: 3.6350, nitc_loss: 3.4395, ritc_loss: 0.1955, Base Lr: 1.34e-05
Epoch[1] Iteration[82/321], loss: 3.8522, nitc_loss: 3.6901, ritc_loss: 0.1621, Base Lr: 1.35e-05
Epoch[1] Iteration[83/321], loss: 3.8112, nitc_loss: 3.6343, ritc_loss: 0.1769, Base Lr: 1.37e-05
Epoch[1] Iteration[84/321], loss: 3.7275, nitc_loss: 3.5930, ritc_loss: 0.1345, Base Lr: 1.38e-05
Epoch[1] Iteration[85/321], loss: 3.7776, nitc_loss: 3.6242, ritc_loss: 0.1534, Base Lr: 1.40e-05
Epoch[1] Iteration[86/321], loss: 3.7050, nitc_loss: 3.5115, ritc_loss: 0.1935, Base Lr: 1.41e-05
Epoch[1] Iteration[87/321], loss: 3.7753, nitc_loss: 3.6342, ritc_loss: 0.1410, Base Lr: 1.43e-05
Epoch[1] Iteration[88/321], loss: 3.7953, nitc_loss: 3.6067, ritc_loss: 0.1886, Base Lr: 1.44e-05
Epoch[1] Iteration[89/321], loss: 3.8742, nitc_loss: 3.6829, ritc_loss: 0.1913, Base Lr: 1.46e-05
Epoch[1] Iteration[90/321], loss: 3.9012, nitc_loss: 3.6884, ritc_loss: 0.2127, Base Lr: 1.47e-05
Epoch[1] Iteration[91/321], loss: 3.8894, nitc_loss: 3.7145, ritc_loss: 0.1749, Base Lr: 1.49e-05
Epoch[1] Iteration[92/321], loss: 3.8849, nitc_loss: 3.7153, ritc_loss: 0.1697, Base Lr: 1.51e-05
Epoch[1] Iteration[93/321], loss: 3.7270, nitc_loss: 3.5676, ritc_loss: 0.1594, Base Lr: 1.52e-05
Epoch[1] Iteration[94/321], loss: 3.7326, nitc_loss: 3.5854, ritc_loss: 0.1472, Base Lr: 1.54e-05
Epoch[1] Iteration[95/321], loss: 3.6978, nitc_loss: 3.5524, ritc_loss: 0.1454, Base Lr: 1.55e-05
Epoch[1] Iteration[96/321], loss: 3.7281, nitc_loss: 3.6041, ritc_loss: 0.1240, Base Lr: 1.57e-05
Epoch[1] Iteration[97/321], loss: 3.7823, nitc_loss: 3.6721, ritc_loss: 0.1102, Base Lr: 1.58e-05
Epoch[1] Iteration[98/321], loss: 3.8244, nitc_loss: 3.6630, ritc_loss: 0.1615, Base Lr: 1.60e-05
Epoch[1] Iteration[99/321], loss: 3.8616, nitc_loss: 3.7527, ritc_loss: 0.1088, Base Lr: 1.61e-05
Epoch[1] Iteration[100/321], loss: 3.8931, nitc_loss: 3.7603, ritc_loss: 0.1328, Base Lr: 1.63e-05
Epoch[1] Iteration[101/321], loss: 3.8708, nitc_loss: 3.7429, ritc_loss: 0.1280, Base Lr: 1.64e-05
Epoch[1] Iteration[102/321], loss: 3.8026, nitc_loss: 3.6885, ritc_loss: 0.1141, Base Lr: 1.66e-05
Epoch[1] Iteration[103/321], loss: 3.7608, nitc_loss: 3.6278, ritc_loss: 0.1331, Base Lr: 1.68e-05
Epoch[1] Iteration[104/321], loss: 3.7533, nitc_loss: 3.6175, ritc_loss: 0.1358, Base Lr: 1.69e-05
Epoch[1] Iteration[105/321], loss: 3.7854, nitc_loss: 3.6401, ritc_loss: 0.1453, Base Lr: 1.71e-05
Epoch[1] Iteration[106/321], loss: 3.8071, nitc_loss: 3.6709, ritc_loss: 0.1361, Base Lr: 1.72e-05
Epoch[1] Iteration[107/321], loss: 3.7570, nitc_loss: 3.6309, ritc_loss: 0.1261, Base Lr: 1.74e-05
Epoch[1] Iteration[108/321], loss: 3.8012, nitc_loss: 3.6118, ritc_loss: 0.1894, Base Lr: 1.75e-05
Epoch[1] Iteration[109/321], loss: 3.7654, nitc_loss: 3.6162, ritc_loss: 0.1492, Base Lr: 1.77e-05
Epoch[1] Iteration[110/321], loss: 3.7595, nitc_loss: 3.5990, ritc_loss: 0.1606, Base Lr: 1.78e-05
Epoch[1] Iteration[111/321], loss: 3.7076, nitc_loss: 3.5537, ritc_loss: 0.1539, Base Lr: 1.80e-05
Epoch[1] Iteration[112/321], loss: 3.7983, nitc_loss: 3.6030, ritc_loss: 0.1953, Base Lr: 1.81e-05
Epoch[1] Iteration[113/321], loss: 3.7361, nitc_loss: 3.5739, ritc_loss: 0.1622, Base Lr: 1.83e-05
Epoch[1] Iteration[114/321], loss: 3.7320, nitc_loss: 3.5656, ritc_loss: 0.1664, Base Lr: 1.85e-05
Epoch[1] Iteration[115/321], loss: 3.9077, nitc_loss: 3.7380, ritc_loss: 0.1697, Base Lr: 1.86e-05
Epoch[1] Iteration[116/321], loss: 3.8267, nitc_loss: 3.6496, ritc_loss: 0.1772, Base Lr: 1.88e-05
Epoch[1] Iteration[117/321], loss: 3.7836, nitc_loss: 3.6290, ritc_loss: 0.1546, Base Lr: 1.89e-05
Epoch[1] Iteration[118/321], loss: 3.7735, nitc_loss: 3.6295, ritc_loss: 0.1440, Base Lr: 1.91e-05
Epoch[1] Iteration[119/321], loss: 3.9022, nitc_loss: 3.7414, ritc_loss: 0.1608, Base Lr: 1.92e-05
Epoch[1] Iteration[120/321], loss: 3.8101, nitc_loss: 3.6586, ritc_loss: 0.1515, Base Lr: 1.94e-05
Epoch[1] Iteration[121/321], loss: 3.8353, nitc_loss: 3.7163, ritc_loss: 0.1190, Base Lr: 1.95e-05
Epoch[1] Iteration[122/321], loss: 3.7054, nitc_loss: 3.5685, ritc_loss: 0.1369, Base Lr: 1.97e-05
Epoch[1] Iteration[123/321], loss: 3.8549, nitc_loss: 3.6981, ritc_loss: 0.1568, Base Lr: 1.98e-05
Epoch[1] Iteration[124/321], loss: 3.7986, nitc_loss: 3.6649, ritc_loss: 0.1337, Base Lr: 2.00e-05
Epoch[1] Iteration[125/321], loss: 3.8683, nitc_loss: 3.6787, ritc_loss: 0.1896, Base Lr: 2.02e-05
Epoch[1] Iteration[126/321], loss: 3.8455, nitc_loss: 3.6877, ritc_loss: 0.1578, Base Lr: 2.03e-05
Epoch[1] Iteration[127/321], loss: 3.6559, nitc_loss: 3.5457, ritc_loss: 0.1102, Base Lr: 2.05e-05
Epoch[1] Iteration[128/321], loss: 3.7940, nitc_loss: 3.6050, ritc_loss: 0.1890, Base Lr: 2.06e-05
Epoch[1] Iteration[129/321], loss: 3.8227, nitc_loss: 3.6396, ritc_loss: 0.1832, Base Lr: 2.08e-05
Epoch[1] Iteration[130/321], loss: 3.9027, nitc_loss: 3.6964, ritc_loss: 0.2063, Base Lr: 2.09e-05
Epoch[1] Iteration[131/321], loss: 3.7915, nitc_loss: 3.6211, ritc_loss: 0.1704, Base Lr: 2.11e-05
Epoch[1] Iteration[132/321], loss: 3.7892, nitc_loss: 3.6288, ritc_loss: 0.1604, Base Lr: 2.12e-05
Epoch[1] Iteration[133/321], loss: 3.6965, nitc_loss: 3.5258, ritc_loss: 0.1707, Base Lr: 2.14e-05
Epoch[1] Iteration[134/321], loss: 3.7891, nitc_loss: 3.6112, ritc_loss: 0.1779, Base Lr: 2.15e-05
Epoch[1] Iteration[135/321], loss: 3.7712, nitc_loss: 3.5864, ritc_loss: 0.1848, Base Lr: 2.17e-05
Epoch[1] Iteration[136/321], loss: 3.8337, nitc_loss: 3.6577, ritc_loss: 0.1760, Base Lr: 2.19e-05
Epoch[1] Iteration[137/321], loss: 3.7589, nitc_loss: 3.5843, ritc_loss: 0.1746, Base Lr: 2.20e-05
Epoch[1] Iteration[138/321], loss: 3.7964, nitc_loss: 3.5967, ritc_loss: 0.1997, Base Lr: 2.22e-05
Epoch[1] Iteration[139/321], loss: 3.7904, nitc_loss: 3.5920, ritc_loss: 0.1983, Base Lr: 2.23e-05
Epoch[1] Iteration[140/321], loss: 3.7679, nitc_loss: 3.6166, ritc_loss: 0.1512, Base Lr: 2.25e-05
Epoch[1] Iteration[141/321], loss: 3.7776, nitc_loss: 3.6001, ritc_loss: 0.1775, Base Lr: 2.26e-05
Epoch[1] Iteration[142/321], loss: 3.6637, nitc_loss: 3.5181, ritc_loss: 0.1456, Base Lr: 2.28e-05
Epoch[1] Iteration[143/321], loss: 3.7403, nitc_loss: 3.5772, ritc_loss: 0.1631, Base Lr: 2.29e-05
Epoch[1] Iteration[144/321], loss: 3.8630, nitc_loss: 3.6698, ritc_loss: 0.1932, Base Lr: 2.31e-05
Epoch[1] Iteration[145/321], loss: 3.7811, nitc_loss: 3.6187, ritc_loss: 0.1624, Base Lr: 2.32e-05
Epoch[1] Iteration[146/321], loss: 3.8501, nitc_loss: 3.7166, ritc_loss: 0.1336, Base Lr: 2.34e-05
Epoch[1] Iteration[147/321], loss: 3.8313, nitc_loss: 3.7120, ritc_loss: 0.1193, Base Lr: 2.35e-05
Epoch[1] Iteration[148/321], loss: 3.8343, nitc_loss: 3.6937, ritc_loss: 0.1405, Base Lr: 2.37e-05
Epoch[1] Iteration[149/321], loss: 3.8710, nitc_loss: 3.7043, ritc_loss: 0.1667, Base Lr: 2.39e-05
Epoch[1] Iteration[150/321], loss: 3.8598, nitc_loss: 3.7286, ritc_loss: 0.1312, Base Lr: 2.40e-05
Epoch[1] Iteration[151/321], loss: 3.6750, nitc_loss: 3.4976, ritc_loss: 0.1774, Base Lr: 2.42e-05
Epoch[1] Iteration[152/321], loss: 3.7190, nitc_loss: 3.5636, ritc_loss: 0.1554, Base Lr: 2.43e-05
Epoch[1] Iteration[153/321], loss: 3.8675, nitc_loss: 3.7332, ritc_loss: 0.1344, Base Lr: 2.45e-05
Epoch[1] Iteration[154/321], loss: 3.7651, nitc_loss: 3.6105, ritc_loss: 0.1546, Base Lr: 2.46e-05
Epoch[1] Iteration[155/321], loss: 3.7568, nitc_loss: 3.6092, ritc_loss: 0.1475, Base Lr: 2.48e-05
Epoch[1] Iteration[156/321], loss: 3.7858, nitc_loss: 3.6170, ritc_loss: 0.1688, Base Lr: 2.49e-05
Epoch[1] Iteration[157/321], loss: 3.8296, nitc_loss: 3.6353, ritc_loss: 0.1942, Base Lr: 2.51e-05
Epoch[1] Iteration[158/321], loss: 3.7914, nitc_loss: 3.6259, ritc_loss: 0.1655, Base Lr: 2.52e-05
Epoch[1] Iteration[159/321], loss: 3.8855, nitc_loss: 3.6981, ritc_loss: 0.1874, Base Lr: 2.54e-05
Epoch[1] Iteration[160/321], loss: 3.8994, nitc_loss: 3.7457, ritc_loss: 0.1536, Base Lr: 2.56e-05
Epoch[1] Iteration[161/321], loss: 3.8219, nitc_loss: 3.7092, ritc_loss: 0.1127, Base Lr: 2.57e-05
Epoch[1] Iteration[162/321], loss: 3.9030, nitc_loss: 3.7973, ritc_loss: 0.1057, Base Lr: 2.59e-05
Epoch[1] Iteration[163/321], loss: 3.9263, nitc_loss: 3.7780, ritc_loss: 0.1484, Base Lr: 2.60e-05
Epoch[1] Iteration[164/321], loss: 3.8381, nitc_loss: 3.7181, ritc_loss: 0.1201, Base Lr: 2.62e-05
Epoch[1] Iteration[165/321], loss: 3.8741, nitc_loss: 3.7498, ritc_loss: 0.1243, Base Lr: 2.63e-05
Epoch[1] Iteration[166/321], loss: 3.9160, nitc_loss: 3.7660, ritc_loss: 0.1501, Base Lr: 2.65e-05
Epoch[1] Iteration[167/321], loss: 3.6783, nitc_loss: 3.5196, ritc_loss: 0.1587, Base Lr: 2.66e-05
Epoch[1] Iteration[168/321], loss: 3.9029, nitc_loss: 3.7428, ritc_loss: 0.1602, Base Lr: 2.68e-05
Epoch[1] Iteration[169/321], loss: 3.7728, nitc_loss: 3.6324, ritc_loss: 0.1403, Base Lr: 2.69e-05
Epoch[1] Iteration[170/321], loss: 3.8295, nitc_loss: 3.6945, ritc_loss: 0.1350, Base Lr: 2.71e-05
Epoch[1] Iteration[171/321], loss: 3.8770, nitc_loss: 3.7411, ritc_loss: 0.1359, Base Lr: 2.73e-05
Epoch[1] Iteration[172/321], loss: 3.9563, nitc_loss: 3.8197, ritc_loss: 0.1366, Base Lr: 2.74e-05
Epoch[1] Iteration[173/321], loss: 3.9546, nitc_loss: 3.7995, ritc_loss: 0.1551, Base Lr: 2.76e-05
Epoch[1] Iteration[174/321], loss: 3.8967, nitc_loss: 3.7449, ritc_loss: 0.1518, Base Lr: 2.77e-05
Epoch[1] Iteration[175/321], loss: 3.8781, nitc_loss: 3.7390, ritc_loss: 0.1391, Base Lr: 2.79e-05
Epoch[1] Iteration[176/321], loss: 3.8255, nitc_loss: 3.6484, ritc_loss: 0.1771, Base Lr: 2.80e-05
Epoch[1] Iteration[177/321], loss: 3.9143, nitc_loss: 3.7750, ritc_loss: 0.1393, Base Lr: 2.82e-05
Epoch[1] Iteration[178/321], loss: 3.8398, nitc_loss: 3.6432, ritc_loss: 0.1966, Base Lr: 2.83e-05
Epoch[1] Iteration[179/321], loss: 3.8484, nitc_loss: 3.7033, ritc_loss: 0.1451, Base Lr: 2.85e-05
Epoch[1] Iteration[180/321], loss: 3.7861, nitc_loss: 3.6389, ritc_loss: 0.1472, Base Lr: 2.86e-05
Epoch[1] Iteration[181/321], loss: 3.8386, nitc_loss: 3.7043, ritc_loss: 0.1343, Base Lr: 2.88e-05
Epoch[1] Iteration[182/321], loss: 3.8862, nitc_loss: 3.7728, ritc_loss: 0.1134, Base Lr: 2.90e-05
Epoch[1] Iteration[183/321], loss: 3.8917, nitc_loss: 3.7471, ritc_loss: 0.1446, Base Lr: 2.91e-05
Epoch[1] Iteration[184/321], loss: 3.8882, nitc_loss: 3.7455, ritc_loss: 0.1427, Base Lr: 2.93e-05
Epoch[1] Iteration[185/321], loss: 3.8323, nitc_loss: 3.6768, ritc_loss: 0.1555, Base Lr: 2.94e-05
